,ID,Requirement,State,ASIL,Status,Failed Rule,Rationale
10,REQ-LLD-011,"When an AuthStatus of approved is received, the [ATM Controller] shall invoke `DispenseCash(amount: 100)` within 50 milliseconds.",Released,ASIL-D,Passed,None,The action part uses 'shall' as required. It specifies a measurable time constraint (50 milliseconds) without vague terms. The requirement is verifiable through timing measurements and does not combine multiple distinct actions.
11,REQ-LLD-012,"While the `DispenseCash` method is executing, the [ATM Client Terminal] shall toggle the physical cash shutter output relay to open.",Released,ASIL-D,Passed,None,"The action part uses the required modal verb 'shall', contains no vague or subjective terms (all terms are specific hardware references), is verifiable through relay state observation during method execution, and specifies a single distinct action (toggling the relay). All INCOSE/ASPICE requirements are satisfied."
12,REQ-LLD-013,"If the Security Gateway flags an authentication failure, the [ATM Controller] shall push the event log to the Error Handling & Logging node.",Released,ASIL-B,Passed,None,"The action part uses 'shall' as required. It avoids vague terms, as 'flags an authentication failure', 'push the event log', and 'Error Handling & Logging node' are specific and contextually defined. The requirement is verifiable by checking if the event log is transmitted to the specified node upon the Security Gateway flagging an authentication failure. It also addresses a single distinct action without combining multiple requirements."
13,REQ-LLD-014,"When the Error Handling & Logging node receives a failure log, it shall write the entry to non-volatile storage within 50 milliseconds.",Released,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
14,REQ-LLD-015,"When the cash is successfully dispensed, the [ATM Client Terminal] shall execute `client.dispenser.dispenseStatus()` to verify empty optics.",Released,ASIL-B,Review,Rule 2,"The term 'successfully' in the condition 'when the cash is successfully dispensed' is vague and subjective. It lacks an objective, measurable definition of what constitutes a 'successful' dispense, making verification ambiguous. The requirement should specify concrete criteria (e.g., sensor signals, mechanical completion) to trigger the action."
15,REQ-LLD-016,"When `client.dispenser.dispenseStatus()` returns true, the [ATM Client Terminal] shall invoke the `TerminalUpdate()` method instantly.",Released,ASIL-B,Review,"Rule 2, Rule 3","The term 'instantly' is vague and subjective (violates Rule 2) because it lacks a quantifiable time frame for verification. This also makes the requirement unmeasurable and non-verifiable (violates Rule 3), as there is no defined criterion to confirm compliance (e.g., within a specific time interval like 100ms)."
16,REQ-LLD-017,"If the connection to the [CBS Bank Host] times out, the [ATM Controller] shall transmit an `Acknowledge(session_closed)` packet to the client.",Released,ASIL-B,Passed,None,"The action part uses the required modal verb 'shall', contains no vague or subjective terms, is verifiable (transmission of a specific packet can be measured), and describes a single distinct action (transmitting the Acknowledge(session_closed) packet). The requirement aligns with the context provided in the full requirement."
17,REQ-LLD-018,"When an `Acknowledge(session_closed)` packet is parsed, the [ATM Client Terminal] shall transition to the out of service display screen.",Released,ASIL-A,Passed,None,"The action part uses 'shall' correctly, avoids vague terms (e.g., 'transition' and 'out of service display screen' are specific and defined), is verifiable through observation of the terminal's display state, and addresses a single distinct action without combining multiple requirements."
18,REQ-LLD-019,"When the User Session State Handler detects 30 seconds of user inactivity, it shall purge the active session data cache.",Released,ASIL-B,Passed,None,"The action part uses 'shall' as required. It contains no vague terms (e.g., '30 seconds' is specific, 'purge' is a clear action). The requirement is verifiable by measuring the time interval and confirming cache purging. It addresses a single distinct action without combining multiple requirements."
19,REQ-LLD-020,"When a session data cache is purged due to a timeout, the [ATM Controller] shall transmit a close instruction to the active channel router.",Released,ASIL-B,Passed,None,"The action part 'the [ATM Controller] shall transmit a close instruction to the active channel router.' complies with all INCOSE/ASPICE rules: it uses 'shall', contains no vague terms, is verifiable (can be tested by checking if the instruction is sent upon cache timeout), and addresses a single distinct action without combining requirements."
20,REQ-LLD-021,"While processing concurrent streams, the Network Message Routing Logic shall limit individual thread creation to 200 instances.",Released,ASIL-B,Passed,None,"The action part uses the required modal verb 'shall', contains no vague or subjective terms, is verifiable and measurable (specific limit of 200 instances), and addresses a single distinct requirement without combining multiple actions."
21,REQ-LLD-022,"If incoming request counts exceed 200, the Network Message Routing Logic shall redirect extra payloads to a memory queue buffer.",Released,ASIL-B,Passed,None,"The action part uses the required modal verb 'shall', avoids vague terms (with 'extra payloads' contextually defined by the precondition in the full requirement), is verifiable through testing (e.g., measuring redirect behavior when request counts exceed 200), and addresses a single distinct action (redirecting payloads)."
22,REQ-LLD-023,"When the Transaction Validation Engine identifies a malformed `encrypted_pin_block`, the [ATM Controller] shall discard the network block.",Released,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
23,REQ-LLD-024,"When an `encrypted_pin_block` is discarded as corrupt, the [ATM Controller] shall append a failure trace code to the active log payload.",Released,ASIL-D,Passed,None,"The action part uses the required modal verb 'shall', avoids vague terms (assuming 'failure trace code' is a defined term in the system context), is verifiable by checking the log payload for the appended code, and specifies a single distinct action without combining multiple requirements."
24,REQ-LLD-025,"If the Customer Account Ledger DB is offline, the Transaction Authorization Router shall intercept all incoming `Core_Request()` calls.",Released,ASIL-B,Passed,None,"The action part uses 'shall' as required. It contains no vague terms (all terms like 'offline', 'intercept', 'incoming', and 'Core_Request()' are specific and measurable). The requirement is verifiable by testing interception behavior when the DB is offline. It addresses a single distinct action without combining multiple requirements."
25,REQ-LLD-026,"When a `Core_Request()` call is intercepted by the router, the [CBS Bank Host] shall return a direct DB_OFFLINE status code token.",Released,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
26,REQ-LLD-027,"When a user inputs physical keys, the Logical Human Interaction Layer shall replace numeric text with mask characters on the display.",Released,ASIL-B,Passed,None,"The action part uses the required modal verb 'shall', avoids vague terms (numeric text and mask characters are specific and measurable), is verifiable through testing display output during user input, and describes a single distinct action without combining multiple requirements."
27,REQ-LLD-028,"When mask characters are rendered on the UI, the [ATM Client Terminal] shall clear the raw character registers from memory buffers within 10 milliseconds.",Released,ASIL-B,Review,Rule 4,"The action part combines two distinct subjects ('the UI' and 'the [ATM Client Terminal]') as the actor responsible for performing the action. This violates Rule 4, which requires that the statement must not combine multiple distinct requirements or actions. The original requirement clearly assigns the action to 'the [ATM Client Terminal]' alone, and the inclusion of 'the UI' introduces ambiguity about which entity is responsible for the action, effectively merging two potential requirements into one."
28,REQ-LLD-029,"When data transmission occurs, the [ATM Client Terminal] shall apply an AES-256 cipher block to the `data_payload` before socket transmission.",Released,ASIL-D,Passed,None,"The action part uses the required modal verb 'shall', contains no vague or subjective terms (AES-256 is a specific standard, 'data_payload' is a defined element, and 'before socket transmission' is a clear condition), is verifiable through testing encryption implementation and timing, and addresses a single distinct action without combining multiple requirements."
29,REQ-LLD-030,"When the `data_payload` is encrypted, the [ATM Client Terminal] shall append an HMAC SHA-256 signature code to the tail of the stream block.",Released,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
30,REQ-LLD-031,"When a dispenser hardware error is reported, the [ATM Client Terminal] shall disable the physical cash delivery stepper motor driver.",Released,ASIL-D,Passed,None,"The action part 'the [ATM Client Terminal] shall disable the physical cash delivery stepper motor driver' complies with all INCOSE/ASPICE rules. It uses the required modal verb 'shall', avoids vague terms, is verifiable (disabling the driver can be tested by confirming power cutoff), and addresses a single distinct action without combining requirements."
31,REQ-LLD-032,"When the cash delivery stepper motor is disabled, the [ATM Client Terminal] shall transmit an active hardware failure alert code up to the middleware.",Released,ASIL-D,Passed,None,"The action part uses 'shall', contains no vague terms, is verifiable (transmission of a specific alert code can be tested), and addresses a single distinct action (transmitting an alert). The context from the full requirement confirms the trigger and action are properly separated."
32,REQ-LLD-033,"If a transaction approval token is delayed past 5 seconds, the [ATM Controller] shall invoke an internal fallback balance reversal routine.",Released,ASIL-D,Passed,None,"The action part 'the [ATM Controller] shall invoke an internal fallback balance reversal routine.' complies with all rules: it uses 'shall' (Rule 1), avoids vague terms (Rule 2), is verifiable through system testing to confirm the routine is triggered under the specified condition (Rule 3), and describes a single distinct action without combining multiple requirements (Rule 4)."
33,REQ-LLD-034,"When the internal balance reversal routine completes, the [ATM Controller] shall log the transaction status as REVERSED in the system logs.",Released,ASIL-D,Passed,None,"The action part uses 'shall' as required. It avoids vague terms, specifies a clear, measurable action (logging a defined status 'REVERSED'), and is verifiable through log inspection. It also addresses a single distinct requirement without combining multiple actions."
34,REQ-LLD-035,"When the user selects a withdrawal amount, the [ATM Client Terminal] shall query the local `vault_balance_current` tracking variable.",Released,ASIL-A,Passed,None,"The action part uses 'shall' as required. It avoids vague terms, specifies a concrete action (querying a named variable), is verifiable through system behavior checks, and describes a single distinct requirement without combining multiple actions."
35,REQ-LLD-036,"If the selected amount is greater than `vault_balance_current`, the [ATM Client Terminal] shall cancel message packaging sequences.",Released,ASIL-A,Passed,None,"The action part 'the [ATM Client Terminal] shall cancel message packaging sequences' adheres to all INCOSE/ASPICE rules: it uses 'shall', avoids vague terms, is verifiable (can be tested by checking if message packaging sequences are canceled when the condition is met), and specifies a single distinct action without combining multiple requirements."
36,REQ-LLD-037,"Where multi-tenant message routing logic is applied, the [ATM Controller] shall partition channel identifiers into isolated memory segments.",Released,ASIL-D,Passed,None,"The action part 'the [ATM Controller] shall partition channel identifiers into isolated memory segments' complies with all INCOSE/ASPICE rules. It uses the required modal verb 'shall', avoids vague terms (all terms are technical and specific), is verifiable through design/implementation checks, and addresses a single distinct requirement without combining multiple actions."
37,REQ-LLD-038,"When a channel identifier is verified, the Network Message Routing Logic shall apply an explicit routing mask matching that channel ID.",Released,ASIL-D,Passed,None,"The action part uses 'shall' (Rule 1), avoids vague terms (e.g., 'explicit' and 'matching' are technically defined in context), is verifiable through system validation of routing mask application (Rule 3), and addresses a single distinct action without combining requirements (Rule 4)."
38,REQ-LLD-039,"When the Security Gateway identifies a fraud risk flag, the [CBS Bank Host] shall terminate the associated database transaction thread.",Released,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
39,REQ-LLD-040,"When a database transaction thread is terminated due to fraud, the Security Gateway shall flag the account identifier status as SUSPENDED.",Released,ASIL-D,Passed,None,"The action part 'the Security Gateway shall flag the account identifier status as SUSPENDED' complies with all INCOSE/ASPICE rules. It uses the required modal verb 'shall', avoids vague terms (all terms are specific and contextually defined), is verifiable through system state checks, and addresses a single distinct action without combining multiple requirements."
40,REQ-LLD-041,"If the terminal hardware cover switch transitions to open, the [ATM Client Terminal] shall clear its volatile encryption key registers.",Released,ASIL-C,Passed,None,The action part uses 'shall' as required. It contains no vague terms (all technical terms like 'transitions to open' and 'volatile encryption key registers' are precise). The requirement is verifiable by testing the system's response to the switch state change. It addresses a single distinct action without combining multiple requirements.
41,REQ-LLD-042,"When the encryption key registers are cleared, the [ATM Client Terminal] shall transmit a silent alert signal code to the middleware router.",Released,ASIL-C,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
42,REQ-LLD-043,"When the Transaction Authorization Router receives a packet, it shall assign the packet to the `core.authorizeWithdrawal()` execution queue.",Released,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
43,REQ-LLD-044,"When the packet is queued, the Transaction Authorization Router shall verify that execution starts within 50 milliseconds.",Released,ASIL-B,Passed,None,"The action part uses 'shall' as required. It contains no vague terms, as 'within 50 milliseconds' is specific and measurable. The requirement is verifiable through timing measurements. It addresses a single action (verification of execution start time) without combining multiple requirements."
44,REQ-LLD-045,"Where power failure occurs at the terminal, the [ATM Client Terminal] shall redirect its processing logic to run off its onboard backup capacitors.",Released,ASIL-D,Passed,None,"The action part uses the required modal verb 'shall', avoids vague terms, is verifiable through testing whether processing logic redirects to backup capacitors during power failure, and addresses a single distinct action without combining multiple requirements."
45,REQ-LLD-046,"While running off backup capacitors, the [ATM Client Terminal] shall copy unwritten log frames into non-volatile flash storage blocks.",Released,ASIL-D,Passed,None,"The action part uses the required modal verb 'shall', contains no vague or subjective terms, is verifiable by checking the presence and integrity of copied log frames in non-volatile storage post-power loss, and specifies a single distinct action without combining multiple requirements."
46,REQ-LLD-047,"When a user cancels during the PIN Verification Loop, the [ATM Client Terminal] shall de-energize the card capture latch mechanism.",Released,ASIL-A,Passed,None,"The action part 'the [ATM Client Terminal] shall de-energize the card capture latch mechanism' complies with all INCOSE/ASPICE rules: it uses 'shall', avoids vague terms, is verifiable (e.g., through system state checks or sensor feedback), and specifies a single distinct action without combining requirements."
47,REQ-LLD-048,"When the card capture latch mechanism de-energizes, the [ATM Client Terminal] shall pulse the card intake motor in reverse for 1500 milliseconds.",Released,ASIL-A,Passed,None,"The action part uses the required modal verb 'shall', contains no vague or subjective terms, specifies a measurable duration (1500 milliseconds), and describes a single distinct action (pulsing the card intake motor in reverse). The requirement is verifiable through measurement of the motor pulse duration and direction."
48,REQ-LLD-049,"If the [ATM Controller] experiences a crash, the User Session State Handler shall reload the last cached state record from storage upon reboot.",Released,ASIL-B,Passed,None,"The action part 'the User Session State Handler shall reload the last cached state record from storage upon reboot' complies with all INCOSE/ASPICE rules. It uses the required modal verb 'shall', contains no vague or subjective terms, is verifiable (e.g., by testing reboot scenarios and verifying state record reloading), and addresses a single distinct requirement without combining multiple actions."
49,REQ-LLD-050,"When the last cached state record is reloaded, the User Session State Handler shall issue an audit validation call to checking routers.",Released,ASIL-B,Review,Rule 2,"The term 'checking routers' is vague and subjective. The action part does not specify the criteria or mechanism for 'checking,' making it unverifiable and immeasurable. The requirement should define objective, quantifiable criteria for the audit validation call (e.g., 'validate against core node records' or 'compare with system state data'). The original rationale provides context but does not resolve the ambiguity in the action part itself."
50,REQ-LLD-051,The [ATM Client Terminal] should try to run `client.verifyPINFormat()` quickly whenever a user plays with the physical inputs.,InWork,ASIL-A,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
51,REQ-LLD-052,"When the PIN is entered, the client should think about format verification and handle things gracefully if it looks weird.",InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
52,REQ-LLD-053,The `middleware.router.routeRequest()` logic must execute instantly so that the user does not get annoyed waiting at the terminal.,InWork,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
53,REQ-LLD-054,The middleware router shall handle the handshake packet perfectly and never drop any transaction data unless something bad happens.,InWork,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
54,REQ-LLD-055,The [ATM Client Terminal] shall pack up the withdrawal amount and send the payload packet to the controller in an agile manner.,InWork,ASIL-B,Review,Rule 2,"The term 'agile manner' is vague and subjective, lacking measurable criteria to verify compliance. ASPICE/INCOSE requires requirements to use objective, testable language, which this statement fails to achieve."
55,REQ-LLD-056,"If a user selects exactly $100, the client system should push that payload through the wires and hope for a quick reply token.",InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
56,REQ-LLD-057,The `core.checkLedgerBalance()` routine must look up the customer database really fast without causing any server lag at all.,InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
57,REQ-LLD-058,"When the host gets a ledger balance query, it should run its database scripts nicely and pass data back if things are cool.",InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
58,REQ-LLD-059,"If PIN verification loop fails, the system should basically let the user try again until they get it right or get tired.",InWork,ASIL-B,Review,LLM Error,LLM analysis failed: No JSON block found in LLM response.
59,REQ-LLD-060,The loop module must verify PIN codes and retry transactions and block bad users and display nice screens all at once.,InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
60,REQ-LLD-061,"When `DispenseCash` is called, cash money should fly out of the terminal vault shutter safely and quickly every single time.",InWork,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
61,REQ-LLD-062,"If an approval token shows up at the terminal dispenser, it must process the cash dispensing thing like we talked about in the meeting.",InWork,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
62,REQ-LLD-063,The Error Handling & Logging block should catch gateway errors and write them somewhere safe without taking up too much disk room.,InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
63,REQ-LLD-064,"Where security gateway logs are generated, the logging database must save them beautifully so engineers can read them easily.",InWork,ASIL-A,Review,"Rule 1, Rule 2","The action part violates Rule 1 by using 'must' instead of the required modal verb 'shall'. It also violates Rule 2 due to the inclusion of vague and subjective terms 'beautifully' and 'easily', which are not measurable or verifiable. The statement fails to meet both syntactic and semantic requirements for INCOSE/ASPICE compliance."
64,REQ-LLD-065,"When the cash is gone, `client.dispenser.dispenseStatus()` needs to update the controller state quickly before the user walks away.",InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
65,REQ-LLD-066,The terminal state update packet must be sent to the middleware loop so that management can track terminal metrics over the web.,InWork,ASIL-A,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
66,REQ-LLD-067,"If the host connection times out, the middleware should try its best to fix the line or pop up an error message eventually.",InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
67,REQ-LLD-068,"When a core timeout token happens, the controller should throw a fit and tell the terminal that things are broken.",InWork,ASIL-A,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
68,REQ-LLD-069,The User Session State Handler should destroy data pools when the user goes idle for a little bit to block sneaky hackers.,InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
69,REQ-LLD-070,"When session timeouts trigger, the system must clean up active variables so the machine looks fresh for the next person using it.",InWork,ASIL-A,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
70,REQ-LLD-071,The routing logic must handle a ton of requests at the same time without showing any signs of system stress or slowdowns.,InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
71,REQ-LLD-072,"While routing logic is dealing with massive traffic, it should execute code flawlessly like modern high-end software.",InWork,ASIL-B,Review,"Rule 1, Rule 2, Rule 3","The action part violates multiple rules: 1) Uses 'should' instead of the required modal verb 'shall'. 2) Contains vague/subjective terms 'flawlessly' and 'like modern high-end software', which are not measurable. 3) The statement is not verifiable as it lacks quantifiable criteria for 'flawless execution' or a defined benchmark for 'modern high-end software'. The original rationale correctly identifies the meaningless comparison and subjective language."
72,REQ-LLD-073,"If the validation engine sees a messed up payload block, it should drop it like a hot potato and throw a massive error code.",InWork,ASIL-D,Review,"Rule 1, Rule 2, Rule 3, Rule 4","The action part violates multiple rules. Rule 1: Uses 'should' instead of the required modal verb 'shall'. Rule 2: Contains vague and subjective terms ('drop it like a hot potato', 'massive error code'). Rule 3: The terms 'drop it like a hot potato' and 'massive error code' are not verifiable or measurable. Rule 4: Combines two distinct actions (dropping the payload and throwing an error code) into a single statement."
73,REQ-LLD-074,"When corrupted data payloads arrive at the middleware layer, the system should handle them safely without exploding the application.",InWork,ASIL-D,Review,Rule 1 and Rule 2,"The action part uses 'should' instead of the required modal verb 'shall', violating Rule 1. Additionally, the terms 'safely' and 'without exploding the application' are vague and subjective, violating Rule 2. The requirement lacks measurable criteria for verification, as 'safely' and 'exploding' are not quantifiable or testable conditions."
74,REQ-LLD-075,"If the ledger database goes to sleep, the host router should tell everyone that requests are totally blocked for now.",InWork,ASIL-B,Review,"Rule 1, Rule 2, Rule 3","The action part violates multiple rules: 1) It uses 'should' instead of the required modal verb 'shall'. 2) It contains vague terms ('goes to sleep', 'tell everyone', 'totally blocked') that are ambiguous and subjective. 3) The statement is not verifiable or measurable due to these ambiguous terms, as there is no defined criteria for what constitutes 'sleep', 'everyone', or 'totally blocked'. The original rationale correctly identifies these issues."
75,REQ-LLD-076,"When account databases fail, the system must drop core requests beautifully so the network backend does not get ruined.",InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
76,REQ-LLD-077,The display screen must hide user key entries with stars or dots so that bad people behind them can't see the secret numbers.,InWork,ASIL-B,Review,"Rule 1, Rule 2","The action part violates Rule 1 by using 'must' instead of the required modal verb 'shall'. It also violates Rule 2 by containing vague and subjective terms 'bad people' and 'secret numbers', which are non-technical and emotional phrasing. The requirement should be rephrased to use 'shall' and replace subjective terms with precise technical language (e.g., 'unauthorized observers' and 'input data')."
77,REQ-LLD-078,"When physical keys are clicked, the UI needs to react super fast so the user knows their key input actually worked fine.",InWork,ASIL-B,Review,"Rule 1, Rule 2, Rule 3","The action part violates Rule 1 by using 'needs to' instead of the required modal verb 'shall'. It violates Rule 2 by including vague terms 'super fast' and 'worked fine', which are subjective and lack precision. It also violates Rule 3 because the statement is not verifiable or measurable without specific quantitative criteria (e.g., response time in milliseconds)."
78,REQ-LLD-079,The terminal application must scramble the transaction payload with AES code so well that no one can decrypt it ever.,InWork,ASIL-D,Review,"Rule 1, Rule 2, Rule 3",The action part uses 'must' instead of the required modal verb 'shall' (Rule 1). It contains vague and subjective terms 'so well' and 'no one can decrypt it ever' (Rule 2). The statement is not verifiable or measurable as there is no defined criteria to assess the effectiveness of the scrambling (Rule 3).
79,REQ-LLD-080,"Where payloads flow across wires, they should be encrypted using super modern tools that match global corporate standards.",InWork,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
80,REQ-LLD-081,"If the cash machine gets jammed up, the terminal software should think about stopping before it breaks more plastic gears.",InWork,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
81,REQ-LLD-082,"When dispensing hardware throws an alert, the local interface loop should stop running things until a repair technician fixes it.",InWork,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
82,REQ-LLD-083,"If an approval token takes forever to get to the controller, the middleware should run an auto-reversal scheme automatically.",InWork,ASIL-D,Review,Rule 1,The action part uses 'should' instead of the required modal verb 'shall'. INCOSE/ASPICE mandates the use of 'shall' for imperative requirements to ensure clarity and enforceability. The statement 'the middleware should run an auto-reversal scheme automatically' violates this rule.
83,REQ-LLD-084,"When token delays happen inside the middleware application, the system should reverse ledger changes nicely to avoid complaints.",InWork,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
84,REQ-LLD-085,"When a customer wants a lot of cash, the terminal must quickly check if the vault box has enough money left inside it.",InWork,ASIL-A,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
85,REQ-LLD-086,"If the user requests more money than the vault holds, the screen must display an insufficient funds alert in a nice bold font.",InWork,ASIL-A,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
86,REQ-LLD-087,The middleware application should isolate tenant data structures so perfectly that cross-site leakage is completely impossible.,InWork,ASIL-D,Review,"Rule 1, Rule 2, Rule 3","The action part violates Rule 1 by using 'should' instead of 'shall'. It violates Rule 2 due to vague terms 'perfectly' and 'completely impossible', which are subjective and unmeasurable. It also violates Rule 3 because the requirement is not verifiable or measurable, as 'completely impossible' sets an unachievable and untestable standard."
87,REQ-LLD-088,"Where multi-tenant message routing logic is running, it must separate data lines clearly so info does not mix up weirdly.",InWork,ASIL-D,Review,"Rule 1, Rule 2, Rule 3","The action part violates Rule 1 by using 'must' instead of the required modal verb 'shall'. It violates Rule 2 due to the vague and subjective term 'mix up weirdly', which lacks precision. It also violates Rule 3 because 'mix up weirdly' is not verifiable or measurable, as there is no defined metric or testable condition to confirm compliance."
88,REQ-LLD-089,"When fraud flags are raised by the gateway, the host bank system should freeze everything instantly to protect user funds.",InWork,ASIL-D,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
89,REQ-LLD-090,"If a bad transaction signature is caught by security routers, the system must block it fast before any money is lost.",InWork,ASIL-D,Review,"Rule 1, Rule 2, Rule 3","The action part violates multiple rules: 1) It uses 'must' instead of the required modal verb 'shall'. 2) It contains vague terms 'fast' and 'before any money is lost', which are subjective and lack measurable criteria. 3) The statement is not verifiable due to the undefined timelines and ambiguous condition 'any money is lost'. These issues prevent objective validation and compliance with INCOSE/ASPICE standards."
90,REQ-LLD-091,"If the terminal box is cracked open by bad guys, the local computer must delete its keys before the bad guys steal them.",InWork,ASIL-C,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
91,REQ-LLD-092,"When structural tamper alerts trigger at the terminal edge layer, state messages should fly up to the central cloud tracker.",InWork,ASIL-C,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
92,REQ-LLD-093,The Transaction Authorization Router should send packets down to the account ledger database as fast as humanly possible.,InWork,ASIL-B,Review,LLM Error,LLM analysis failed: LLM response is empty or not a string.
